# DatalystLM Question Seed File
# Format: question_text|topic|subtopic|difficulty|keywords|ideal_answer_primary|ideal_answer_supporting_1
# Lines starting with # are ignored. Pipe | is the delimiter — do not use | inside answers.

# ── Machine Learning ──────────────────────────────────────────────────────────

Explain how logistic regression works as a classifier. What are its core assumptions and when is it a good choice over more complex models?|ML|SUPERVISED_LEARNING|EASY|logistic regression;sigmoid;log-odds;binary classification;probability;decision boundary;linear;multicollinearity;regularization;calibrated|Logistic regression estimates the probability that an observation belongs to a class by passing a linear combination of features through the sigmoid function, constraining output to between zero and one. The model estimates log-odds as a linear function of inputs, so the decision boundary is always linear in the original feature space. Core assumptions include a linear relationship between features and log-odds, independence of observations, and low multicollinearity among predictors. You apply a threshold -- typically 0.5 -- to convert probabilities into class labels, though this threshold can be adjusted based on the cost of each error type.|Logistic regression is a strong baseline because it is fast to train, interpretable through its coefficients, and produces well-calibrated probability estimates -- which matter in risk-scoring applications like credit or medical diagnosis. L1 regularization adds feature selection; L2 adds stability with correlated features. For nonlinear decision boundaries, adding polynomial or interaction features often works before switching to a more complex model. It struggles when classes are clearly not linearly separable or when there are many complex feature interactions.

Explain gradient descent and its main variants -- batch, stochastic, and mini-batch. What are the practical trade-offs and why does batch size matter in training?|ML|MODEL_EVALUATION|MEDIUM|gradient descent;batch;stochastic;mini-batch;learning rate;loss function;convergence;Adam;momentum;optimization;batch size|Gradient descent minimizes a loss function by computing its gradient and moving parameters in the opposite direction. Batch gradient descent computes the gradient over the entire training set per update -- stable and accurate but prohibitively slow for large datasets. Stochastic gradient descent uses one random example per update -- very fast but produces noisy, bouncy convergence. Mini-batch gradient descent is the practical standard: it computes gradients on random subsets of 32 to 512 examples, balancing update stability with speed and enabling efficient GPU matrix operations on fixed-size batches. Batch size is a key hyperparameter -- too small and updates are noisy, too large and you may converge to sharp minima that generalize poorly.|The learning rate is the most critical hyperparameter: too large causes divergence, too small causes slow convergence. Adaptive optimizers like Adam maintain per-parameter learning rates using running estimates of first and second gradient moments, reducing manual tuning. Momentum accumulates velocity in consistent gradient directions, helping navigate flat loss landscapes. In practice, batch size is often hardware-constrained: the largest batch fitting in GPU memory while still producing good generalization. Learning rate warmup and decay schedules are common in deep learning to manage the instability of early training.

Explain information gain and entropy in the context of decision trees. How does the algorithm use them to select splits?|ML|SUPERVISED_LEARNING|MEDIUM|entropy;information gain;impurity;decision tree;Gini;split;CART;ID3;purity;Shannon|Entropy measures the impurity or disorder of a set of labels -- a node where all examples belong to one class has zero entropy, while a perfectly mixed node has maximum entropy. Information gain is the reduction in entropy achieved by a split: compute the parent node entropy, split the data on a feature threshold, compute the weighted average entropy of the child nodes, and subtract. The decision tree algorithm evaluates all possible splits across all features at each node and selects the one that maximizes information gain, greedily building a tree that reduces label uncertainty as quickly as possible.|Gini impurity is an alternative to entropy that measures the probability of misclassifying a randomly drawn example -- computationally cheaper and producing nearly identical trees in practice. CART uses Gini by default; ID3 and C4.5 use information gain. Information gain has a known bias toward high-cardinality features like unique IDs that can create many perfectly pure leaf nodes. Information gain ratio -- dividing by the feature's own entropy -- corrects this bias. Controlling tree depth, minimum samples per leaf, and minimum impurity decrease matters far more to final performance than the choice between Gini and entropy.

Walk me through linear regression and its core assumptions. How would you diagnose and address violations in a real dataset?|ML|SUPERVISED_LEARNING|MEDIUM|linear regression;least squares;linearity;homoscedasticity;normality;multicollinearity;VIF;residuals;independence;assumptions|Linear regression estimates a linear relationship between inputs and a continuous target by minimizing the sum of squared residuals. The four core assumptions are: linearity -- the true relationship is linear; homoscedasticity -- residuals have constant variance across all predicted values; independence -- observations are not correlated with each other; and normality of residuals -- errors are approximately normally distributed with zero mean. Violations do not always ruin predictions but do invalidate confidence intervals and hypothesis tests on the model coefficients.|Diagnose violations visually: plot residuals against fitted values -- a funnel shape indicates heteroscedasticity, a curve indicates nonlinearity. A Q-Q plot checks residual normality. VIF above 5 or 10 signals multicollinearity, inflating coefficient variance without necessarily harming predictions. Fix heteroscedasticity with a log or Box-Cox transform on the target or use weighted least squares. Fix multicollinearity by removing correlated features, combining them via PCA, or applying Ridge regression. For time series data where independence fails, use the Durbin-Watson test and consider adding lag features or switching to ARIMA.

Explain how K-Means clustering works and how you would determine the right number of clusters.|ML|UNSUPERVISED_LEARNING|EASY|K-Means;centroids;inertia;elbow method;silhouette score;K-Means++;initialization;convergence;cluster assignment|K-Means partitions data into K clusters by iterating two steps: assigning each point to its nearest centroid, then recomputing each centroid as the mean of all assigned points. This repeats until assignments no longer change or a maximum iteration count is reached, minimizing total within-cluster inertia -- the sum of squared distances from each point to its centroid. The algorithm is sensitive to initialization and can converge to local minima; K-Means++ improves this by choosing initial centroids that are spread apart, reducing the probability of a poor starting configuration.|Choosing K is the main challenge. The elbow method plots inertia against K and looks for a kink where more clusters give diminishing returns, though the kink is often ambiguous. The silhouette score measures how similar each point is to its own cluster relative to the nearest other cluster and ranges from minus one to one -- a clear peak across K values gives a more objective optimum. Domain knowledge is often the strongest guide. K-Means assumes roughly spherical, equally sized clusters; for non-convex or elongated shapes, DBSCAN or Gaussian mixture models are more appropriate.

Define precision, recall, and F1 score. When would you prioritize one metric over the others?|ML|MODEL_EVALUATION|EASY|precision;recall;F1 score;false positive;false negative;tradeoff;confusion matrix;imbalanced;threshold;harmonic mean|Precision is the fraction of positive predictions that are actually positive -- it measures how trustworthy a positive prediction is. Recall is the fraction of actual positives the model correctly identifies -- it measures how much real signal you are capturing. F1 score is the harmonic mean of precision and recall, balancing both into a single number and penalizing models that sacrifice one heavily for the other. The tradeoff is direct: lowering the classification threshold increases recall by catching more true positives but also raises false positives, reducing precision; raising the threshold does the reverse.|The right metric depends on the cost of each error type. In spam filtering, a false positive -- legitimate email marked as spam -- is worse than a false negative, so precision is the priority. In cancer screening, a false negative -- missing a real case -- is far more costly, so recall matters most. F1 is appropriate when both error types carry roughly equal cost and classes are imbalanced. For a fuller view, use the precision-recall curve rather than a single threshold metric -- it shows behavior across the full operating range and is more informative than ROC when the positive class is rare.

What is the difference between MSE and MAE as loss functions? When would you choose one over the other in practice?|ML|MODEL_EVALUATION|MEDIUM|MSE;MAE;mean squared error;mean absolute error;outliers;Huber loss;robust;gradient;squared penalty;median|MSE averages squared prediction errors, giving outliers disproportionately heavy weight because errors grow quadratically -- a prediction 10 units off contributes 100 to MSE but only 10 to MAE. MAE averages absolute errors, treating each unit of error equally regardless of magnitude. MSE is differentiable everywhere and has a unique closed-form solution for linear regression, making optimization stable. MAE is more robust to outliers and produces models that target the conditional median rather than the mean, which is preferable when the target distribution is skewed or when extreme values in the target are noise you want to ignore.|Use MSE when large errors are especially costly and you want the model penalized heavily for them -- forecasting demand for a supply chain where a large miss causes stockouts. Use MAE when outliers in the target are noise and median-level predictions are acceptable. Huber loss is a practical middle ground: it behaves like MSE for errors below a tunable delta threshold and like MAE above it, giving stable convergence with robustness to large deviations. The loss function choice should reflect the actual business cost of different error magnitudes, not just convention.

What is the difference between parametric and non-parametric models? Give me a concrete example of each and explain when you would use one versus the other.|ML|SUPERVISED_LEARNING|MEDIUM|parametric;non-parametric;linear regression;decision tree;KNN;assumptions;flexibility;data requirements;overfitting;interpretability|Parametric models assume a fixed functional form -- like a linear combination of inputs -- and learn a fixed number of parameters from data. Once trained, predictions depend only on those parameters, not the training data itself; linear and logistic regression are examples. Non-parametric models make no strong assumptions about functional form and let data determine structure; their effective complexity grows with dataset size. K-Nearest Neighbors, decision trees, and kernel methods are examples. Use parametric models when the assumed form is reasonable, data is limited, and interpretability matters; use non-parametric models when the true relationship is unknown and you have enough data to support more flexibility.|Parametric models have lower variance but higher bias when the assumed form is wrong -- if you fit a line to a curved relationship the model is fundamentally limited. Non-parametric models have lower bias but overfit with limited data. Random Forests are non-parametric and frequently outperform linear models on messy tabular data with complex feature interactions, but require more data and tuning. Bayesian non-parametric approaches like Gaussian Processes offer a principled middle ground, allowing complexity to grow with data while maintaining uncertainty estimates useful in scientific applications.

Explain the kernel trick in SVMs. Why is it useful and how would you decide which kernel to use for a given problem?|ML|SUPERVISED_LEARNING|HARD|SVM;kernel trick;RBF;linear kernel;polynomial kernel;higher-dimensional space;margin;support vectors;dot product;non-linear|SVMs find the maximum-margin hyperplane separating two classes. When classes are not linearly separable in the original feature space, mapping to a higher-dimensional space where they are would normally require computing coordinates and dot products there -- expensive. The kernel trick bypasses this: a kernel function computes the dot product in the higher-dimensional space directly from original feature values, without ever performing the transformation explicitly. This works because only dot products appear in the SVM optimization. The RBF kernel implicitly maps to an infinite-dimensional space while remaining computationally cheap.|Start with a linear kernel when you have many features relative to training examples -- it is fast, avoids high-dimensional overfitting, and is often sufficient. Use RBF when the decision boundary is expected to be nonlinear and you have no strong prior about its shape -- it is the most general-purpose option. Polynomial kernels capture multiplicative interactions between features, common in NLP and image tasks. Kernel choice interacts strongly with the regularization parameter C and, for RBF, gamma -- tune these jointly via cross-validation. For very large datasets, kernel SVMs scale quadratically to cubically with training size; linear SVMs with explicit feature maps or neural networks are more practical at scale.

What is cross-validation, why does it matter, and how would you implement k-fold cross-validation correctly?|ML|MODEL_EVALUATION|MEDIUM|cross-validation;k-fold;generalization;overfitting;stratified;hyperparameter tuning;data leakage;holdout;validation|Cross-validation estimates how well a model generalizes to unseen data by systematically rotating which portion of the dataset serves as the evaluation set. In k-fold, data is split into k equal folds; the model trains on k minus one folds and evaluates on the remaining fold, rotating through all k possibilities and averaging validation scores. This gives a more reliable performance estimate than a single train-test split, especially for smaller datasets where any single random split might be unrepresentative. It also reduces the chance of selecting a model that happened to look good on a lucky validation split.|Stratified k-fold preserves class proportion in every fold, which is critical for imbalanced classification. Repeated k-fold reruns the process with different random splits, further reducing variance in the estimate. Use cross-validation for model selection and hyperparameter tuning, but retrain the final model on all available data using the chosen hyperparameters. A common and costly mistake is performing feature selection or scaling before cross-validation rather than inside each fold -- this leaks validation-set information into training and inflates performance estimates, making the model appear better than it is.

You are building a fraud detection classifier and your dataset is 99 percent legitimate transactions and 1 percent fraud. How do you approach the class imbalance problem?|ML|MODEL_EVALUATION|MEDIUM|class imbalance;SMOTE;oversampling;undersampling;class weights;precision;recall;F1;threshold;cost-sensitive;AUC-PR|First fix the evaluation metric -- accuracy is misleading since predicting all-legitimate achieves 99 percent without catching any fraud. Use precision, recall, and F1 on the fraud class, or AUC on the precision-recall curve. Then address imbalance in training: class weighting penalizes misclassifying the minority class more heavily in the loss without modifying the data; SMOTE oversamples the minority by interpolating synthetic examples between existing ones; undersampling reduces the majority class to better match the minority. Finally, tune the decision threshold -- lowering it below 0.5 increases fraud recall at the cost of some precision.|SMOTE can introduce noise if minority examples are sparse or borderline; ADASYN adapts oversampling rates by focusing synthesis near the decision boundary. Ensemble methods like Balanced Random Forest and EasyEnsemble handle imbalance natively. Cost-sensitive learning explicitly encodes that a missed fraud costs more than a false alarm, which directly aligns the loss with business priorities. Stratified sampling is essential throughout -- train-test splits and cross-validation folds must preserve the imbalance ratio so evaluation reflects the true production distribution.

You have run a clustering algorithm on your dataset with no ground truth labels. What metrics would you use to evaluate the results and how would you choose between them?|ML|UNSUPERVISED_LEARNING|MEDIUM|silhouette score;Dunn index;inertia;internal validation;cohesion;separation;adjusted rand index;external validation;WCSS|Without ground truth, internal metrics evaluate cluster quality from the data alone using cohesion and separation. Silhouette score computes for each point the difference between its mean distance to other points in its cluster and its mean distance to points in the nearest other cluster, normalized to range from minus one to one -- higher scores mean tighter, better-separated clusters. Dunn's Index is the ratio of minimum inter-cluster distance to maximum cluster diameter -- higher values indicate compact, well-separated clusters. Inertia measures total within-cluster variance but always decreases with more clusters, making it better for comparing K values than absolute quality.|When even a small set of manually annotated ground truth labels exists, external metrics like Adjusted Rand Index and Normalized Mutual Information compare the clustering against true labels and give the most objective evaluation. Visualizing with t-SNE or UMAP complements numeric metrics by revealing whether clusters are visually coherent and domain-meaningful. No single metric captures everything -- high silhouette score for K-Means on non-spherical data can still produce poor real-world clusters. Report multiple metrics together and validate qualitatively with domain experts.

Explain the ROC curve and its AUC. When is it the right evaluation tool and when would you prefer something else?|ML|MODEL_EVALUATION|MEDIUM|ROC curve;AUC;true positive rate;false positive rate;threshold;precision-recall curve;imbalanced;binary classification;sensitivity;specificity|The ROC curve plots true positive rate against false positive rate at every possible classification threshold, showing the complete tradeoff between sensitivity and specificity. AUC summarizes this into a single scalar -- 0.5 is random guessing and 1.0 is perfect -- where higher means the model ranks positives above negatives more consistently. ROC is most useful when both classes are roughly balanced, when false-positive and false-negative costs are similar, and when you want to compare models across all possible operating points rather than at a single threshold.|For severely imbalanced datasets, ROC can be misleading: the false positive rate stays low even with many false positives because the denominator -- actual negatives -- is huge. A model can achieve high AUC while having terrible precision on the minority class. The precision-recall curve is more informative for imbalanced problems because it directly shows how trustworthy positive predictions are. When you have committed to a specific operating threshold -- alerting only when probability exceeds 0.9 -- report precision, recall, and F1 at that threshold rather than AUC, since AUC averages performance across thresholds you will never use.

What is the difference between hard and soft voting in ensemble classifiers and when does each perform better?|ML|SUPERVISED_LEARNING|MEDIUM|hard voting;soft voting;ensemble;probability;calibration;majority vote;averaging;confidence;Platt scaling;stacking|In hard voting each model predicts a class label and the majority wins -- all votes are weighted equally regardless of how confident each model was. In soft voting each model outputs class probabilities and the ensemble averages them, predicting the class with the highest average probability. Soft voting generally outperforms hard voting because it respects confidence -- a model predicting 99 percent for a class contributes much more signal than one predicting 51 percent, which hard voting treats identically.|Soft voting requires well-calibrated probability estimates from each base classifier. If a model is systematically overconfident or underconfident, its votes receive incorrect implicit weights. Calibration techniques like Platt scaling or isotonic regression can correct this before ensembling. Hard voting is more robust when combining models that lack reliable probability outputs. Stacking is the generalization of soft voting: instead of averaging probabilities, it trains a meta-learner on base model outputs, allowing it to learn which models to trust on which types of inputs.

Compare Random Forest and gradient boosting. Explain how boosting works, what makes AdaBoost and Gradient Boosting different from each other, and why boosting tends to be more stable than other ensemble approaches.|ML|SUPERVISED_LEARNING|HARD|boosting;bagging;random forest;AdaBoost;gradient boosting;XGBoost;sequential;residuals;variance;bias;ensemble;stability|Random Forest and gradient boosting are both decision-tree ensembles but combine trees fundamentally differently. Random Forest uses bagging -- trees train independently in parallel on bootstrap samples with random feature subsets, and predictions are averaged to reduce variance. Gradient boosting trains trees sequentially, with each new tree fit to the residual errors of the current ensemble, iteratively reducing bias. AdaBoost was the first major boosting algorithm: it reweights misclassified examples so subsequent trees focus on harder cases. Gradient Boosting frames the process as gradient descent in function space, fitting each tree to the negative gradient of the loss, making it general to any differentiable loss function.|Boosting is more stable than bagging because it uses a corrective feedback loop -- each tree targets specific errors rather than training blindly on random subsamples. However, this sequential dependency also makes boosting more prone to overfitting than Random Forest if iterations run too long; regularization via learning rate, tree depth, and subsampling mitigates this. XGBoost and LightGBM are optimized implementations that dominate structured data competitions by adding second-order gradient information, column subsampling, and histogram-based splitting. In practice, gradient boosting nearly always outperforms Random Forest on tabular data when carefully tuned, but Random Forest is a faster, lower-maintenance baseline that rarely fails badly.

How would you evaluate whether a dimensionality reduction technique is working well on your dataset?|ML|MODEL_EVALUATION|MEDIUM|dimensionality reduction;reconstruction error;explained variance;PCA;downstream task;visualization;intrinsic dimensionality;t-SNE;UMAP|The most direct evaluation is reconstruction error -- project data into the reduced space, reverse-transform back to the original, and measure information lost. PCA minimizes reconstruction error explicitly and reports variance explained per component, letting you choose how many components retain a target fraction -- typically 90 to 95 percent. For algorithms without a clean inverse transform, evaluate the reduced representation via a downstream task: train a classifier on the reduced features and compare accuracy against using the full feature set. If performance is similar with far fewer dimensions, the reduction is effective.|Visualization is a qualitative but powerful check: t-SNE and UMAP project to 2D and reveal whether the reduced representation preserves meaningful cluster structure. If domain-relevant groups separate cleanly in the 2D projection, real signal is being retained. Intrinsic dimensionality estimators can tell you how many dimensions the data truly requires, setting a principled lower bound on reduction. Combining a numeric metric like explained variance or downstream accuracy with a qualitative visual check is better than relying on either alone.

What is the curse of dimensionality and how does it affect machine learning models in practice?|ML|FEATURE_ENGINEERING|MEDIUM|curse of dimensionality;high dimensions;sparsity;distance concentration;feature selection;PCA;overfitting;data requirements;nearest neighbor|The curse of dimensionality refers to the fact that as the number of features grows, the volume of the space grows exponentially and any fixed sample size covers a vanishingly small fraction of it -- data becomes extremely sparse. Distance metrics lose discriminative power because all points tend toward roughly equal distances from each other in high dimensions, undermining methods like KNN and kernel SVMs that rely on proximity. Models require exponentially more data to learn reliable patterns and the risk of fitting noise rather than signal increases dramatically.|Practical symptoms include models overfitting despite seemingly adequate data, diffuse rather than concentrated feature importance scores, and 2D visualizations that look like random scatter. Solutions include feature selection to remove irrelevant dimensions, feature extraction via PCA or autoencoders to find a compact lower-dimensional representation, and regularization to penalize complexity. The effective intrinsic dimensionality of real data is often much lower than the raw feature count -- text with a hundred thousand word features may truly occupy a 50-dimensional semantic space.

Walk me through the different variants of PCA -- standard, incremental, randomized, and kernel -- and tell me when you would choose each one.|ML|UNSUPERVISED_LEARNING|HARD|PCA;incremental PCA;randomized PCA;kernel PCA;memory;large datasets;nonlinear;online learning;SVD;dimensionality reduction|Standard PCA computes the full SVD or covariance matrix and is the default when the dataset fits in memory -- exact and fast for moderate-sized data. Incremental PCA processes data in mini-batches, suitable for datasets too large for memory and for online learning where new data arrives continuously; it approximates standard PCA with a small trade-off depending on batch size. Randomized PCA uses randomized linear algebra to approximate the top components without the full decomposition, running much faster when reducing from many features to a small target dimension.|Kernel PCA extends PCA to nonlinear dimensionality reduction by implicitly mapping data to a higher-dimensional space via a kernel -- typically RBF -- before computing principal components. It captures nonlinear structure that standard PCA misses but lacks a simple inverse transform and requires the full kernel matrix in memory. Sparse PCA finds components with many zero loadings, increasing interpretability in domains like genomics. In practice: use standard PCA if data fits in memory; switch to Incremental or Randomized for scale constraints; use Kernel PCA only when you know linear PCA fails to separate meaningful structure and your dataset is small enough for the kernel matrix.

Your clustering task involves millions of data points. What algorithms would you consider and what are the practical trade-offs?|ML|UNSUPERVISED_LEARNING|MEDIUM|MiniBatch K-Means;BIRCH;scalable clustering;large datasets;memory;streaming;approximate;centroids;distributed;FAISS|Standard K-Means loads the full dataset into memory at each iteration, making it impractical for millions of points. MiniBatch K-Means uses random mini-batches to update centroids at each step rather than the full dataset, reducing runtime by a factor of three to four while producing nearly identical cluster assignments -- it is the most practical first choice for large-scale K-Means-style clustering. BIRCH builds a compact in-memory Clustering Feature tree by progressively summarizing data points, then clusters the summary rather than raw data, making it suitable for datasets that do not fit in memory and streaming scenarios.|For distributed environments, Spark MLlib provides scalable K-Means across a cluster. HDBSCAN scales better than standard DBSCAN because it avoids computing the full pairwise distance matrix. For very high-dimensional data like embeddings at billion-point scale, libraries like FAISS use quantization and approximate nearest neighbor indexing to enable fast clustering that would be impossible with exact methods. The right choice depends on whether the bottleneck is memory, compute time, or distribution -- benchmarking on a representative sample before committing to a production pipeline is worth the effort.

Does SVM require feature scaling? Explain why, using a concrete example of what goes wrong without it.|ML|FEATURE_ENGINEERING|EASY|SVM;feature scaling;standardization;normalization;margin;RBF kernel;support vectors;distance;bias;StandardScaler|Yes, SVM is highly sensitive to feature scaling. The SVM objective maximizes the margin between classes, measured by distances between support vectors and the decision boundary. When features are on very different scales -- say, age between 0 and 100 and income between 10,000 and 200,000 -- distance calculations are dominated by the large-magnitude feature. The margin optimization then effectively ignores small-scale features and the decision boundary is biased toward whatever has the highest numerical magnitude, producing poor classification.|The problem is especially pronounced with RBF and polynomial kernels, which compute distances or dot products between data points -- unscaled features cause the kernel matrix to reflect high-variance features almost exclusively. After standardizing to zero mean and unit variance, each feature contributes proportionally to the kernel. Always fit the scaler on training data only and apply to both train and test sets; fitting on all data leaks test statistics. Tree-based models like Random Forest and Gradient Boosting are invariant to monotonic transformations and do not require scaling.

What is the difference between a loss function and a cost function? Give me examples of each.|ML|MODEL_EVALUATION|EASY|loss function;cost function;MSE;cross-entropy;single example;average;regularization;optimization;training;gradient|A loss function measures the error for a single training example -- how wrong the model's prediction is on that one data point. A cost function is the aggregate, typically the mean of the loss across all training examples, and it is what the optimizer actually minimizes via gradient descent. Cross-entropy loss computes the error for one classification example; the cost function is the mean cross-entropy over all training examples. The distinction matters because gradient updates use the gradient of the cost -- the average gradient over many examples -- not any single loss.|Some practitioners use the terms interchangeably and context usually clarifies the intent. Regularization terms like L1 or L2 weight penalties are added to the cost function, not to individual example losses, because they penalize global model complexity. Common pairings: MSE loss averaged over examples for regression; binary cross-entropy loss averaged over examples for binary classification; categorical cross-entropy for multiclass. Understanding the distinction helps when debugging training -- a spike in cost could be one very wrong prediction or a global drift, and these call for different diagnoses.

Walk me through the different criteria a decision tree can use to select splits. When would you use each?|ML|SUPERVISED_LEARNING|MEDIUM|Gini impurity;information gain;entropy;variance reduction;CART;ID3;C4.5;regression tree;classification;splitting criterion|For classification trees, the two standard criteria are Gini impurity and information gain. Gini impurity measures the probability of misclassifying a randomly drawn example if its class were assigned proportionally to the node's distribution -- lower is purer and CART uses it by default. Information gain measures the reduction in Shannon entropy from a split and produces nearly identical trees in practice. For regression trees, the standard criterion is variance reduction -- the split that maximizes the decrease in target variance across child nodes, equivalent to minimizing the weighted residual sum of squares.|Information gain has a known bias toward high-cardinality features like unique IDs, which can create many perfectly pure leaf nodes with artificially high gain. Information gain ratio -- dividing by the feature's own entropy -- corrects this and is used by C4.5. In practice the choice between Gini and entropy rarely matters much; controlling tree depth, minimum samples per leaf, and minimum impurity decrease has far greater effect on model quality and generalization. Oblique splits using linear combinations of features can model rotated decision boundaries but are computationally expensive and rarely used.

Explain active learning and walk me through one specific strategy for deciding which data points to label next.|ML|SUPERVISED_LEARNING|HARD|active learning;uncertainty sampling;query strategy;pool-based;stream-based;entropy;least confidence;margin sampling;oracle;annotation cost|Active learning is a paradigm where a model iteratively selects which unlabeled examples to send for human annotation, aiming to maximize performance while minimizing labeling cost. Rather than labeling everything upfront, the model trains on a small initial labeled set, evaluates all unlabeled examples, and queries the ones it expects to learn most from. In pool-based uncertainty sampling, the model selects examples it is most uncertain about -- measured by entropy of the predicted class distribution, where high entropy means the model is nearly equally confused between classes.|Least confidence sampling selects examples where the top predicted class probability is lowest. Margin sampling selects examples where the gap between the top two class probabilities is smallest -- the model is nearly tied between candidates. Query by committee trains multiple models on different subsets of labeled data and queries examples where they disagree most, which is more robust than single-model uncertainty. Active learning is particularly valuable when labeling is expensive, such as medical image annotation or legal document review. A key challenge is that the queried subset may not be representative, potentially introducing distributional shift between the training set and production data.

